StarID,ProperName,RA,Dec,Mag,ColorIndex
1.0,,2.5315E-4,-19.49883745,9.27,0.999
2.0,,3.3386E-4,38.85928608,6.61,-0.019
3.0,,5.5878E-4,-51.89354612,8.06,0.37
4.0,,6.6435E-4,-40.5912244,8.55,0.902
5.0,,0.00235612,36.58593777,8.59,1.067
6.0,,0.00241687,-50.8670736,8.59,0.489
7.0,,0.00248646,46.94000154,7.34,0.081
8.0,,0.00272783,-35.96022482,8.43,1.484
9.0,,0.00277864,-22.5946806,8.8,1.128
10.0,,0.00321812,-0.36042119,7.25,1.2
11.0,,0.00335392,50.79117384,8.6,1.166
12.0,,0.00340663,-40.19232842,8.15,0.425
13.0,,0.00355446,38.30408636,6.53,0.955
14.0,,0.0041967,23.52928397,8.51,0.516
15.0,,0.00441571,8.00723437,7.55,1.438
16.0,,0.00467572,-49.35226686,8.69,0.962
17.0,,0.00496195,13.31221083,7.57,0.456
18.0,,0.00529102,-44.29029741,6.28,0.763
19.0,,0.00581658,-43.36179962,8.83,0.468
20.0,,0.00640904,42.14149882,8.26,0.142
21.0,,0.00653959,2.67547768,7.63,1.453
22.0,,0.00661205,-10.46245445,8.1,0.466
23.0,,0.00663131,26.91823821,6.43,0.514
24.0,,0.00688503,12.26709303,7.68,1.15
25.0,,0.00740312,-79.06183133,8.65,0.778
26.0,,0.00745743,-16.6969302,7.46,0.475
27.0,,0.0077709,54.30223774,8.7,0.026
28.0,,0.00835911,25.84478059,8.2,0.387
29.0,,0.00860593,59.55973786,6.18,1.032
30.0,,0.00884815,-3.30636174,7.91,1.104
31.0,,0.00896961,-25.62225277,8.57,1.035
32.0,,0.00901282,-56.83524773,10.78,1.15
33.0,,0.00901484,-40.69044664,7.31,1.164
34.0,,0.0095247,-53.09766277,6.49,0.616
35.0,,0.00955936,1.06619726,8.94,0.906
36.0,,0.00977725,-77.0201405,8.56,0.196
37.0,,0.01011037,17.96895579,10.57,1.03
38.0,,0.01052221,-66.68310336,7.4,0.551
39.0,,0.01085545,0.22293899,8.12,1.329
40.0,,0.01121903,-69.67580068,8.27,0.863
41.0,,0.01158422,62.17600484,7.05,0.52
42.0,,0.01169487,-64.46582516,8.34,0.386
43.0,,0.01174381,53.82218625,8.86,1.081
44.0,,0.01199741,-45.42272731,8.27,0.994
45.0,,0.01211663,45.25333305,6.36,-0.047
46.0,,0.01230592,-27.90754614,8.08,1.156
47.0,,0.01256994,-72.31824913,8.55,0.401
48.0,,0.01327342,23.53824873,7.83,0.495
49.0,,0.01337575,16.98896499,8.79,0.94
50.0,,0.01342478,30.39589283,8.33,0.135
51.0,,0.01380665,36.78015328,8.26,0.846
52.0,,0.01463132,-12.82867015,8.97,0.671
53.0,,0.01469714,66.84796687,6.9,1.446
54.0,,0.01479152,35.75272213,9.93,1.068
55.0,,0.01487747,-50.446465,7.42,1.524
56.0,,0.01536811,-30.06417333,8.41,0.022
57.0,,0.01548753,17.86784193,8.06,1.203
58.0,,0.01571485,35.31675386,8.69,0.529
59.0,,0.01611947,-11.82353722,8.4,0.566
60.0,,0.01625762,-4.93211471,8.57,0.642
61.0,,0.01653873,52.08056444,8.85,1.726
62.0,,0.01735884,69.6034983,8.05,0.018
63.0,,0.01743437,-5.83497569,7.8,0.43
64.0,,0.01794397,-48.80985919,5.71,0.911
65.0,,0.01847678,53.16694253,7.87,1.566
66.0,,0.01866665,-41.88742972,7.64,0.5
67.0,,0.01870456,-5.87433293,7.66,1.3
68.0,,0.019375,-20.70558648,8.68,0.944
69.0,,0.0194815,-0.07592034,8.12,0.619
70.0,,0.02013592,-11.96400015,8.67,0.513
71.0,,0.02106774,60.35529798,7.04,2.835
72.0,,0.02109675,19.74131648,8.44,0.898
73.0,,0.02136213,-41.4873557,7.05,1.55
74.0,,0.02147626,-68.37102958,8.29,0.538
75.0,,0.02185629,70.9289578,7.73,0.455
76.0,,0.02201097,49.98158501,6.22,0.97
77.0,,0.02225348,-50.33739907,5.53,1.615
78.0,,0.02243688,-70.12530771,8.53,1.315
79.0,,0.0231068,6.79149102,7.23,0.388
80.0,,0.02324721,39.61081788,8.61,0.787
81.0,,0.02327246,34.28185977,11.28,1.308
82.0,,0.02379443,-16.94782618,10.76,1.384
83.0,,0.02437471,49.01041081,8.93,0.021
84.0,,0.0247784,30.73587929,7.95,0.654
85.0,,0.02483977,-62.9231576,7.46,0.16
86.0,,0.0250262,-33.79270439,8.6,0.435
87.0,,0.02536054,-72.60590348,8.55,1.093
88.0,,0.02601348,44.67544581,6.82,1.071
89.0,,0.02639926,-45.34468907,8.29,1.183
90.0,,0.02643178,28.42377416,6.83,1.197
91.0,,0.02662528,-77.06529438,4.78,1.254
92.0,,0.02668274,72.23660619,7.21,1.169
93.0,,0.02694969,61.22280406,5.58,0.407
94.0,,0.02698211,-39.33667992,8.7,0.366
95.0,,0.02724887,14.63230674,8.06,0.969
96.0,,0.02758431,73.61187664,6.5,0.182
97.0,,0.02799614,62.01815066,8.13,0.2
98.0,,0.02822459,-40.14866597,6.62,0.545
99.0,,0.02844972,-0.21749947,8.64,0.62
100.0,,0.02857615,24.2531808,6.6,1.153
101.0,,0.02884595,42.36714821,6.25,-0.042
102.0,,0.02914692,-16.53172119,7.83,1.074
103.0,,0.03022865,36.3503456,8.47,1.35
